Kind_of_Business,period,value
All other gen. merchandise stores,1995-03-01,2212.0
All other gen. merchandise stores,1995-05-01,2452.0
All other gen. merchandise stores,1995-11-01,2791.0
All other gen. merchandise stores,1995-10-01,2414.0
All other gen. merchandise stores,1995-09-01,2302.0
All other home furnishings stores,1995-04-01,0.0
All other home furnishings stores,1995-08-01,0.0
All other home furnishings stores,1995-12-01,0.0
All other home furnishings stores,1995-02-01,0.0
All other home furnishings stores,1995-01-01,0.0
All other home furnishings stores,1995-07-01,0.0
All other home furnishings stores,1995-06-01,0.0
All other home furnishings stores,1995-03-01,0.0
All other home furnishings stores,1995-05-01,0.0
All other home furnishings stores,1995-11-01,0.0
All other home furnishings stores,1995-10-01,0.0
All other home furnishings stores,1995-09-01,0.0
Automobile and other motor vehicle dealers,1995-04-01,43638.0
Automobile and other motor vehicle dealers,1995-08-01,48616.0
Automobile and other motor vehicle dealers,1995-12-01,39702.0
Automobile and other motor vehicle dealers,1995-02-01,37825.0
Automobile and other motor vehicle dealers,1995-01-01,36800.0
Automobile and other motor vehicle dealers,1995-07-01,45544.0
Automobile and other motor vehicle dealers,1995-06-01,50296.0
Automobile and other motor vehicle dealers,1995-03-01,47198.0
Automobile and other motor vehicle dealers,1995-05-01,48264.0
Automobile and other motor vehicle dealers,1995-11-01,41534.0
Automobile and other motor vehicle dealers,1995-10-01,43925.0
Automobile and other motor vehicle dealers,1995-09-01,44470.0
Automobile dealers,1995-04-01,41130.0
Automobile dealers,1995-08-01,46037.0
Automobile dealers,1995-12-01,38092.0
Automobile dealers,1995-02-01,36245.0
Automobile dealers,1995-01-01,35487.0
Automobile dealers,1995-07-01,43032.0
Automobile dealers,1995-06-01,47260.0
Automobile dealers,1995-03-01,44670.0
Automobile dealers,1995-05-01,45489.0
Automobile dealers,1995-11-01,40133.0
Automobile dealers,1995-10-01,41908.0
Automobile dealers,1995-09-01,42201.0
"Automotive parts, acc., and tire stores",1995-04-01,4231.0
"Automotive parts, acc., and tire stores",1995-08-01,4863.0
"Automotive parts, acc., and tire stores",1995-12-01,4100.0
"Automotive parts, acc., and tire stores",1995-02-01,3634.0
"Automotive parts, acc., and tire stores",1995-01-01,3755.0
"Automotive parts, acc., and tire stores",1995-07-01,4424.0
"Automotive parts, acc., and tire stores",1995-06-01,4626.0
"Automotive parts, acc., and tire stores",1995-03-01,4333.0
"Automotive parts, acc., and tire stores",1995-05-01,4511.0
"Automotive parts, acc., and tire stores",1995-11-01,4506.0
"Automotive parts, acc., and tire stores",1995-10-01,4563.0
"Automotive parts, acc., and tire stores",1995-09-01,4357.0
"Beer, wine, and liquor stores",1995-04-01,1699.0
"Beer, wine, and liquor stores",1995-08-01,1861.0
"Beer, wine, and liquor stores",1995-12-01,2598.0
"Beer, wine, and liquor stores",1995-02-01,1501.0
"Beer, wine, and liquor stores",1995-01-01,1555.0
"Beer, wine, and liquor stores",1995-07-01,1886.0
"Beer, wine, and liquor stores",1995-06-01,1863.0
"Beer, wine, and liquor stores",1995-03-01,1725.0
"Beer, wine, and liquor stores",1995-05-01,1807.0
"Beer, wine, and liquor stores",1995-11-01,1879.0
"Beer, wine, and liquor stores",1995-10-01,1788.0
"Beer, wine, and liquor stores",1995-09-01,1845.0
Book stores,1995-04-01,688.0
Book stores,1995-08-01,1248.0
Book stores,1995-12-01,1466.0
Book stores,1995-02-01,718.0
Book stores,1995-01-01,1308.0
Book stores,1995-07-01,782.0
Book stores,1995-06-01,808.0
Book stores,1995-03-01,695.0
Book stores,1995-05-01,785.0
Book stores,1995-11-01,850.0
Book stores,1995-10-01,746.0
Book stores,1995-09-01,1102.0
Building mat. and garden equip. and supplies dealers,1995-04-01,13907.0
Building mat. and garden equip. and supplies dealers,1995-08-01,14783.0
Building mat. and garden equip. and supplies dealers,1995-12-01,12917.0
Building mat. and garden equip. and supplies dealers,1995-02-01,10967.0
Building mat. and garden equip. and supplies dealers,1995-01-01,11086.0
Building mat. and garden equip. and supplies dealers,1995-07-01,14174.0
Building mat. and garden equip. and supplies dealers,1995-06-01,15414.0
Building mat. and garden equip. and supplies dealers,1995-03-01,13447.0
Building mat. and garden equip. and supplies dealers,1995-05-01,15700.0
Building mat. and garden equip. and supplies dealers,1995-11-01,13600.0
Building mat. and garden equip. and supplies dealers,1995-10-01,14616.0
Building mat. and garden equip. and supplies dealers,1995-09-01,13950.0
Building mat. and supplies dealers,1995-04-01,11416.0
Building mat. and supplies dealers,1995-08-01,12894.0
Building mat. and supplies dealers,1995-12-01,11078.0
Building mat. and supplies dealers,1995-02-01,9496.0
Building mat. and supplies dealers,1995-01-01,9734.0
Building mat. and supplies dealers,1995-07-01,12125.0
Building mat. and supplies dealers,1995-06-01,12995.0
Building mat. and supplies dealers,1995-03-01,11445.0
Building mat. and supplies dealers,1995-05-01,12980.0
Building mat. and supplies dealers,1995-11-01,11864.0
Building mat. and supplies dealers,1995-10-01,12767.0
Building mat. and supplies dealers,1995-09-01,12234.0
Clothing and clothing access. stores,1995-04-01,10168.0
Clothing and clothing access. stores,1995-08-01,11264.0
Clothing and clothing access. stores,1995-12-01,20002.0
Clothing and clothing access. stores,1995-02-01,7961.0
Clothing and clothing access. stores,1995-01-01,7518.0
Clothing and clothing access. stores,1995-07-01,9784.0
Clothing and clothing access. stores,1995-06-01,10301.0
Clothing and clothing access. stores,1995-03-01,9815.0
Clothing and clothing access. stores,1995-05-01,10620.0
Clothing and clothing access. stores,1995-11-01,12751.0
Clothing and clothing access. stores,1995-10-01,10439.0
Clothing and clothing access. stores,1995-09-01,10710.0
Clothing stores,1995-04-01,7079.0
Clothing stores,1995-08-01,7727.0
Clothing stores,1995-12-01,13102.0
Clothing stores,1995-02-01,5472.0
Clothing stores,1995-01-01,5331.0
Clothing stores,1995-07-01,6805.0
Clothing stores,1995-06-01,7087.0
Clothing stores,1995-03-01,6944.0
Clothing stores,1995-05-01,7190.0
Clothing stores,1995-11-01,8988.0
Clothing stores,1995-10-01,7425.0
Clothing stores,1995-09-01,7558.0
Department stores,1995-04-01,15729.0
Department stores,1995-08-01,17050.0
Department stores,1995-12-01,30479.0
Department stores,1995-02-01,12603.0
Department stores,1995-01-01,12260.0
Department stores,1995-07-01,15922.0
Department stores,1995-06-01,16399.0
Department stores,1995-03-01,15448.0
Department stores,1995-05-01,16337.0
Department stores,1995-11-01,21138.0
Department stores,1995-10-01,16574.0
Department stores,1995-09-01,15981.0
Department stores(excl. discount department stores),1995-04-01,6569.0
Department stores(excl. discount department stores),1995-08-01,7435.0
Department stores(excl. discount department stores),1995-12-01,14336.0
Department stores(excl. discount department stores),1995-02-01,5362.0
Department stores(excl. discount department stores),1995-01-01,5112.0
Department stores(excl. discount department stores),1995-07-01,6663.0
Department stores(excl. discount department stores),1995-06-01,6734.0
Department stores(excl. discount department stores),1995-03-01,6667.0
Department stores(excl. discount department stores),1995-05-01,6827.0
Department stores(excl. discount department stores),1995-11-01,9490.0
Department stores(excl. discount department stores),1995-10-01,7128.0
Department stores(excl. discount department stores),1995-09-01,6977.0
Discount dept. stores,1995-04-01,9160.0
Discount dept. stores,1995-08-01,9615.0
Discount dept. stores,1995-12-01,16143.0
Discount dept. stores,1995-02-01,7241.0
Discount dept. stores,1995-01-01,7148.0
Discount dept. stores,1995-07-01,9259.0
Discount dept. stores,1995-06-01,9665.0
Discount dept. stores,1995-03-01,8781.0
Discount dept. stores,1995-05-01,9510.0
Discount dept. stores,1995-11-01,11648.0
Discount dept. stores,1995-10-01,9446.0
Discount dept. stores,1995-09-01,9004.0
Drinking places,1995-04-01,1017.0
Drinking places,1995-08-01,1077.0
Drinking places,1995-12-01,1121.0
Drinking places,1995-02-01,912.0
Drinking places,1995-01-01,910.0
Drinking places,1995-07-01,1060.0
Drinking places,1995-06-01,1032.0
Drinking places,1995-03-01,1025.0
Drinking places,1995-05-01,1044.0
Drinking places,1995-11-01,1070.0
Drinking places,1995-10-01,1086.0
Drinking places,1995-09-01,1098.0
Electronic shopping and mail-order houses,1995-04-01,3650.0
Electronic shopping and mail-order houses,1995-08-01,4080.0
Electronic shopping and mail-order houses,1995-12-01,6837.0
Electronic shopping and mail-order houses,1995-02-01,3341.0
Electronic shopping and mail-order houses,1995-01-01,3939.0
Electronic shopping and mail-order houses,1995-07-01,3568.0
Electronic shopping and mail-order houses,1995-06-01,3710.0
Electronic shopping and mail-order houses,1995-03-01,4121.0
Electronic shopping and mail-order houses,1995-05-01,3943.0
Electronic shopping and mail-order houses,1995-11-01,6113.0
Electronic shopping and mail-order houses,1995-10-01,5021.0
Electronic shopping and mail-order houses,1995-09-01,4357.0
Electronics and appliance stores,1995-04-01,5016.0
Electronics and appliance stores,1995-08-01,5993.0
Electronics and appliance stores,1995-12-01,10206.0
Electronics and appliance stores,1995-02-01,5005.0
Electronics and appliance stores,1995-01-01,5480.0
Electronics and appliance stores,1995-07-01,5565.0
Electronics and appliance stores,1995-06-01,5688.0
Electronics and appliance stores,1995-03-01,5574.0
Electronics and appliance stores,1995-05-01,5438.0
Electronics and appliance stores,1995-11-01,6839.0
Electronics and appliance stores,1995-10-01,5833.0
Electronics and appliance stores,1995-09-01,5742.0
Electronics stores,1995-04-01,0.0
Electronics stores,1995-08-01,0.0
Electronics stores,1995-12-01,0.0
Electronics stores,1995-02-01,0.0
Electronics stores,1995-01-01,0.0
Electronics stores,1995-07-01,0.0
Electronics stores,1995-06-01,0.0
Electronics stores,1995-03-01,0.0
Electronics stores,1995-05-01,0.0
Electronics stores,1995-11-01,0.0
Electronics stores,1995-10-01,0.0
Electronics stores,1995-09-01,0.0
Family clothing stores,1995-04-01,2959.0
Family clothing stores,1995-08-01,3488.0
Family clothing stores,1995-12-01,6264.0
Family clothing stores,1995-02-01,2266.0
Family clothing stores,1995-01-01,2194.0
Family clothing stores,1995-07-01,3006.0
Family clothing stores,1995-06-01,3061.0
Family clothing stores,1995-03-01,2901.0
Family clothing stores,1995-05-01,2958.0
Family clothing stores,1995-11-01,4292.0
Family clothing stores,1995-10-01,3290.0
Family clothing stores,1995-09-01,3320.0
Floor covering stores,1995-04-01,1089.0
Floor covering stores,1995-08-01,1226.0
Floor covering stores,1995-12-01,1183.0
Floor covering stores,1995-02-01,979.0
Floor covering stores,1995-01-01,974.0
Floor covering stores,1995-07-01,1122.0
Floor covering stores,1995-06-01,1174.0
Floor covering stores,1995-03-01,1139.0
Floor covering stores,1995-05-01,1160.0
Floor covering stores,1995-11-01,1242.0
Floor covering stores,1995-10-01,1228.0
Floor covering stores,1995-09-01,1188.0
Food and beverage stores,1995-04-01,31792.0
Food and beverage stores,1995-08-01,33279.0
Food and beverage stores,1995-12-01,36510.0
Food and beverage stores,1995-02-01,29132.0
Food and beverage stores,1995-01-01,31039.0
Food and beverage stores,1995-07-01,33520.0
Food and beverage stores,1995-06-01,33060.0
Food and beverage stores,1995-03-01,32361.0
Food and beverage stores,1995-05-01,33178.0
Food and beverage stores,1995-11-01,32508.0
Food and beverage stores,1995-10-01,31830.0
Food and beverage stores,1995-09-01,32177.0
Food services and drinking places,1995-04-01,19404.0
Food services and drinking places,1995-08-01,20878.0
Food services and drinking places,1995-12-01,19939.0
Food services and drinking places,1995-02-01,16982.0
Food services and drinking places,1995-01-01,17340.0
Food services and drinking places,1995-07-01,20502.0
Food services and drinking places,1995-06-01,20235.0
Food services and drinking places,1995-03-01,19369.0
Food services and drinking places,1995-05-01,20209.0
Food services and drinking places,1995-11-01,18785.0
Food services and drinking places,1995-10-01,19768.0
Food services and drinking places,1995-09-01,19601.0
Fuel dealers,1995-04-01,1441.0
Fuel dealers,1995-08-01,1257.0
Fuel dealers,1995-12-01,2504.0
Fuel dealers,1995-02-01,2185.0
Fuel dealers,1995-01-01,2152.0
Fuel dealers,1995-07-01,1121.0
Fuel dealers,1995-06-01,1211.0
Fuel dealers,1995-03-01,1877.0
Fuel dealers,1995-05-01,1398.0
Fuel dealers,1995-11-01,1880.0
Fuel dealers,1995-10-01,1478.0
Fuel dealers,1995-09-01,1316.0
Full service restaurants,1995-04-01,8235.0
Full service restaurants,1995-08-01,9000.0
Full service restaurants,1995-12-01,8349.0
Full service restaurants,1995-02-01,7311.0
Full service restaurants,1995-01-01,7475.0
Full service restaurants,1995-07-01,8867.0
Full service restaurants,1995-06-01,8514.0
Full service restaurants,1995-03-01,8211.0
Full service restaurants,1995-05-01,8581.0
Full service restaurants,1995-11-01,7956.0
Full service restaurants,1995-10-01,8295.0
Full service restaurants,1995-09-01,8238.0
Furniture and home furnishings stores,1995-04-01,4818.0
Furniture and home furnishings stores,1995-08-01,5506.0
Furniture and home furnishings stores,1995-12-01,6409.0
Furniture and home furnishings stores,1995-02-01,4410.0
Furniture and home furnishings stores,1995-01-01,4649.0
Furniture and home furnishings stores,1995-07-01,5190.0
Furniture and home furnishings stores,1995-06-01,5196.0
Furniture and home furnishings stores,1995-03-01,5084.0
Furniture and home furnishings stores,1995-05-01,5195.0
Furniture and home furnishings stores,1995-11-01,6090.0
Furniture and home furnishings stores,1995-10-01,5505.0
Furniture and home furnishings stores,1995-09-01,5418.0
Furniture stores,1995-04-01,2813.0
Furniture stores,1995-08-01,3178.0
Furniture stores,1995-12-01,3540.0
Furniture stores,1995-02-01,2663.0
Furniture stores,1995-01-01,2856.0
Furniture stores,1995-07-01,3022.0
Furniture stores,1995-06-01,3046.0
Furniture stores,1995-03-01,3052.0
Furniture stores,1995-05-01,3024.0
Furniture stores,1995-11-01,3417.0
Furniture stores,1995-10-01,3175.0
Furniture stores,1995-09-01,3191.0
"Furniture, home furn, electronics, and appliance stores",1995-04-01,9834.0
"Furniture, home furn, electronics, and appliance stores",1995-08-01,11499.0
"Furniture, home furn, electronics, and appliance stores",1995-12-01,16615.0
"Furniture, home furn, electronics, and appliance stores",1995-02-01,9415.0
"Furniture, home furn, electronics, and appliance stores",1995-01-01,10129.0
"Furniture, home furn, electronics, and appliance stores",1995-07-01,10755.0
"Furniture, home furn, electronics, and appliance stores",1995-06-01,10884.0
"Furniture, home furn, electronics, and appliance stores",1995-03-01,10658.0
"Furniture, home furn, electronics, and appliance stores",1995-05-01,10633.0
"Furniture, home furn, electronics, and appliance stores",1995-11-01,12929.0
"Furniture, home furn, electronics, and appliance stores",1995-10-01,11338.0
"Furniture, home furn, electronics, and appliance stores",1995-09-01,11160.0
Gasoline stations,1995-04-01,14630.0
Gasoline stations,1995-08-01,16217.0
Gasoline stations,1995-12-01,15185.0
Gasoline stations,1995-02-01,13212.0
Gasoline stations,1995-01-01,13871.0
